127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:13:32, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:14:17, GET, /, HTTP/1.1, 200, 0.051000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples, HTTP/1.1, 200, 0.046000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:14:22, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:14:25, GET, /, HTTP/1.1, 200, 0.045000
127.0.0.1, 2017-07-16 16:14:28, GET, /, HTTP/1.1, 200, 0.046000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/shell/index/welcome, HTTP/1.1, 303, 0.020000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin, HTTP/1.1, 200, 0.027000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-16 16:16:24, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:16:24, GET, /favicon.ico, HTTP/1.1, 404, 0.001000
127.0.0.1, 2017-07-16 16:16:28, POST, /admin, HTTP/1.1, 303, 0.021000
127.0.0.1, 2017-07-16 16:16:28, GET, /admin/shell/index/welcome, HTTP/1.1, 200, 0.018000
127.0.0.1, 2017-07-16 16:16:28, GET, /admin/static/_2.14.6/js/autoscroll.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:16:28, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-07-16 16:18:26, GET, /admin/shell/index/welcome, HTTP/1.1, 200, 0.031000
127.0.0.1, 2017-07-16 16:18:27, GET, /admin, HTTP/1.1, 303, 0.029000
127.0.0.1, 2017-07-16 16:18:27, GET, /admin/site, HTTP/1.1, 200, 0.058000
127.0.0.1, 2017-07-16 16:18:27, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:18:28, POST, /admin/check_version, HTTP/1.1, 200, 0.523000
127.0.0.1, 2017-07-16 16:18:28, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-07-16 16:18:28, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2017-07-16 16:18:30, GET, /, HTTP/1.1, 200, 0.323000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/edit/backend/controllers/default.py, HTTP/1.1, 200, 0.021000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-07-16 16:18:34, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.004000
